rank,word,total_count,contemporary,late_qing,mingqing,republican,socialist
50,几个,19569,4297,4090,2569,4120,4493
51,一下,19424,7068,579,469,4180,7128
52,但是,19161,3656,3384,662,8203,3256
53,过去,19118,5154,3085,1568,3915,5396
54,这么,18646,7179,1639,337,4673,4818
55,今天,18312,4757,3087,193,5257,5018
56,眼睛,18138,5297,1072,523,4951,6295
57,如何,18129,1490,6482,7356,2022,779
58,有些,17987,5626,2717,2664,3627,3353
59,那么,17770,6961,1591,78,5012,4128
60,只见,17627,522,5717,8977,1198,1213
61,如此,17575,1864,6068,7225,2047,371
62,一定,17560,3697,2988,859,5025,4991
63,先生,17472,2186,4447,4107,5481,1251
64,事情,17406,4417,3320,600,5435,3634
65,二人,17200,222,9236,6289,1277,176
66,那些,17193,5544,2648,1818,3366,3817
67,一面,17177,793,5219,4197,3960,3008
68,告诉,17036,4189,2460,1658,4370,4359
69,有人,16944,3889,4173,2680,2778,3424
70,原来,16585,2492,5631,3809,2294,2359
71,只有,16530,4654,2871,1872,3731,3402
72,说话,16028,3914,3211,2289,3725,2889
73,孩子,15946,5231,989,1082,3941,4703
74,这种,15785,5961,1771,107,5062,2884
75,母亲,15767,3689,2115,1949,5267,2747
76,过来,15758,3442,4149,1982,3031,3154
77,出去,15729,2352,4055,2871,3525,2926
78,以后,15397,4218,1523,1048,3774,4834
79,父亲,15377,6025,1949,2208,3831,1364
80,众人,15360,1052,6486,6555,772,495
81,下来,15330,4068,3240,1967,2967,3088
82,正在,15324,2713,4009,2367,2412,3823
83,太太,15235,611,5087,1366,7318,853
84,之后,15208,3117,4910,2070,3164,1947
85,这是,15184,3784,2365,1709,3492,3834
86,许多,15176,2218,3074,3429,4490,1965
87,看看,14920,3850,2114,1596,2956,4404
88,敌人,14889,708,376,69,702,13034
89,于是,14868,2693,3173,1913,4857,2232
90,不会,14703,5791,1104,575,3600,3633
91,然后,14638,4120,3002,2325,2823,2368
92,如今,14558,1843,4230,5920,963,1602
93,明白,14547,3880,2598,1903,3843,2323
94,忽然,14528,2061,3100,1870,4314,3183
95,声音,14520,4084,839,468,4862,4267
96,坐在,14270,3745,1581,1447,3769,3728
97,后来,14257,4072,3829,2390,2033,1933
98,身上,14232,3494,2226,2125,2941,3446
99,家里,14195,3236,1708,1949,3835,3467
100,女人,14088,6699,713,882,3717,2077
101,一种,14023,5228,1282,248,4853,2412
102,地说,13963,3671,36,41,2231,7984
103,老爷,13916,279,7634,4915,823,265
104,听见,13852,2549,3075,2642,3186,2400
105,今日,13823,573,4712,7734,676,128
106,大人,13803,947,8568,2969,936,383
107,问道,13679,562,3851,4370,2464,2432
108,似的,13669,3608,774,309,5296,3682
109,虽然,13622,3420,2107,1628,3835,2632
110,进来,13561,1725,3958,2937,2843,2098
111,儿子,13555,3916,2325,2666,2242,2406
112,不好,13453,2185,3469,2893,2214,2692
113,一边,13437,4471,818,1017,2406,4725
114,一切,13307,3599,1654,487,4869,2698
115,看着,13156,5366,930,1035,2406,3419
116,一看,12923,1205,4967,1888,2581,2282
117,回去,12917,2212,3398,2404,2367,2536
118,以为,12844,2568,3220,1845,3737,1474
119,一般,12837,2159,3069,3473,2576,1560
120,里面,12592,2047,3435,2321,3129,1660
121,一天,12529,3632,2300,453,3369,2775
122,人们,12513,3912,311,360,2552,5378
123,别人,12510,3561,1704,1413,2718,3114
124,只得,12448,556,4687,5845,973,387
125,兄弟,12445,1181,5181,3223,1653,1207
126,姑娘,12272,3444,3681,1576,1772,1799
127,工作,12247,4150,94,18,1741,6244
128,来到,12240,1777,3433,2578,2220,2232
129,问题,12154,5227,85,5,1910,4927
130,银子,11791,372,4381,6170,779,89
131,一些,11758,4301,412,574,3129,3342
132,一阵,11737,2333,1844,1014,2231,4315
133,多少,11714,2893,2391,1842,2144,2444
134,一条,11664,3446,1732,1522,2398,2566
135,真是,11566,2624,2413,1405,2602,2522
136,心中,11497,1598,3783,3155,2043,918
137,一直,11472,4826,1463,587,2258,2338
138,自然,11459,1471,3417,1736,3584,1251
139,为什么,11446,3588,821,430,3695,2912
140,下去,11400,2519,1990,1250,2720,2921
141,朋友,11394,1788,2833,1189,4324,1260
142,不可,11304,1012,3936,3844,1764,748
143,只要,11288,2955,2302,1287,2029,2715
144,答应,11277,1406,3801,2191,2195,1684
145,脸上,11266,3337,728,513,3502,3186
146,三个,11163,2154,2695,1878,1879,2557
147,小姐,11002,826,2553,3440,3624,559
148,夫人,10976,508,3650,5882,866,70
149,晓得,10845,784,4372,2568,1637,1484
150,一只,10815,3939,1411,1256,2341,1868
151,不肯,10795,1114,3146,3603,2122,810
152,女儿,10784,2718,2433,2698,1864,1071
153,同志,10781,2122,232,31,979,7417
154,想到,10778,3424,986,284,3104,2980
155,十分,10750,1857,2434,2033,2382,2044
156,怎样,10666,1401,2379,694,4591,1601
157,好像,10568,3306,441,120,3734,2967
158,这时,10565,2440,1074,219,2907,3925
159,面前,10563,2637,1503,1622,2212,2589
160,进去,10537,1361,3339,2666,1893,1278
161,而且,10489,2853,1554,407,3774,1901
162,哪里,10478,2277,2850,744,2225,2382
163,有点,10410,2756,1479,110,3206,2859
164,中国,10356,2377,2508,301,3336,1834
165,样子,10336,3037,1117,247,3707,2228
166,正是,10310,1341,2818,3513,1444,1194
167,还要,10264,2235,2397,1592,1872,2168
168,一件,10250,2109,2202,1666,2843,1430
169,甚么,10241,132,4763,3865,1253,228
170,回家,10182,2474,1857,1915,2126,1810
171,要是,10119,3296,1290,252,1556,3725
172,如果,10090,4640,1000,269,1871,2310
173,生活,10085,3888,136,179,3457,2425
174,衣服,9979,2086,2061,2111,2200,1521
175,她们,9956,3344,202,39,3805,2566
176,不见,9945,1065,2990,3644,1313,933
177,一次,9944,4484,823,336,2188,2113
178,回到,9860,2778,1882,995,1819,2386
179,应该,9833,3470,1146,132,2696,2389
180,外面,9819,1868,3376,1313,2143,1119
181,看到,9802,4659,239,192,1785,2927
182,不得,9773,721,3028,4537,923,564
183,此时,9773,694,4676,3532,757,114
184,因此,9576,1596,2600,2248,1852,1280
185,立刻,9563,2317,1798,663,2031,2754
186,一张,9557,2302,2153,1027,2700,1375
187,意思,9514,2215,1985,725,2931,1658
188,似乎,9408,3002,520,94,4422,1370
189,突然,9361,4181,157,112,1905,3006
190,一时,9305,1274,2884,2856,1113,1178
191,听说,9106,1648,2318,1474,1630,2036
192,一块,9104,2637,1261,807,1678,2721
193,开始,9075,4823,29,29,1847,2347
194,起身,9073,1250,2798,3247,935,843
195,那样,9051,3040,404,261,2844,2502
196,一起,8994,4128,867,438,1045,2516
197,一句,8965,2362,1522,891,2103,2087
198,就要,8946,2179,1622,1065,1692,2388
199,果然,8933,1236,2849,2622,1467,759
200,哥哥,8899,1522,1738,2393,2466,780
201,为了,8892,3099,480,139,1995,3179
202,高兴,8828,2107,881,392,2370,3078
203,感到,8815,3702,5,53,2061,2994
204,公子,8776,82,3249,4984,432,29
205,当时,8714,2243,2500,1669,1271,1031
206,吩咐,8655,469,3373,3480,860,473
207,坐下,8592,1452,1878,1876,2049,1337
208,方才,8548,93,4189,3413,602,251
209,却是,8542,1530,2208,3043,1319,442
210,一会,8493,708,2295,1744,2079,1667
211,后面,8472,1630,1946,1283,1911,1702
212,跟着,8448,1964,1394,795,1730,2565
213,日本,8429,1524,997,83,3341,2484
214,最后,8424,3837,93,33,1846,2615
215,不到,8398,2096,1699,912,1909,1782
216,连忙,8383,841,2897,2358,1253,1034
217,手里,8363,2188,1059,811,1577,2728
218,旁边,8357,1414,1774,910,2054,2205
219,当然,8305,3565,286,38,2143,2273
220,两人,8287,2315,1954,1434,1503,1081
221,听到,8227,2435,487,166,1813,3326
222,一齐,8211,515,2945,2761,872,1118
223,不必,8172,603,3201,2361,1637,370
224,一日,8171,297,3172,4197,434,71
225,说是,8150,1327,2473,1618,1768,964
226,想起,8135,1917,925,880,1672,2741
227,刚才,8117,2112,722,634,2089,2560
228,回答,8084,1978,513,372,2867,2354
229,一把,8028,2259,1166,1304,1227,2072
230,和尚,8016,569,2276,3176,1818,177
231,一片,8015,2496,1276,901,1482,1860
232,准备,8001,2614,447,580,1023,3337
233,女子,7974,802,2397,2356,2206,213
234,办法,7923,2108,633,84,1789,3309
235,一眼,7890,2653,471,294,2046,2426
236,慢慢,7888,1714,1221,768,2383,1802
237,奶奶,7881,1785,999,2886,628,1583
238,那边,7874,1250,2059,1470,1404,1691
239,喜欢,7861,2823,747,745,2295,1251
240,将来,7834,693,2346,1996,1793,1006
241,屋里,7814,1652,857,1027,1568,2710
242,接着,7734,1341,904,534,1398,3557
243,晚上,7719,2535,822,307,2056,1999
244,非常,7698,1990,1244,579,2248,1637
245,上面,7614,1577,1805,1264,1828,1140
246,马上,7602,1610,676,761,1605,2950
247,学生,7590,1674,1075,894,2517,1430
248,便是,7555,480,2536,2759,1575,205
249,可能,7546,4447,234,142,867,1856
250,再说,7542,1819,1852,1202,1195,1474
251,难道,7526,1439,1693,1632,1745,1017
252,愿意,7523,1597,1029,201,2724,1972
253,这位,7455,1345,2591,663,1681,1175
254,这话,7451,1367,1695,1118,2369,902
255,完全,7428,2253,236,62,2699,2178
256,别的,7403,1668,1166,654,2130,1785
257,门口,7377,2126,934,444,1418,2455
258,不曾,7370,226,1628,3701,1715,100
259,身子,7365,1852,826,1144,1665,1878
260,几天,7330,2262,1200,190,1660,2018
261,那时,7321,1185,2609,1690,1194,643
262,一位,7292,1522,2206,907,1761,896
263,实在,7282,1507,1873,398,2114,1390
264,放在,7281,1470,1171,1203,1943,1494
265,到底,7280,1812,1580,752,1755,1381
266,一回,7269,890,2615,1766,954,1044
267,妇人,7253,509,1298,4379,1025,42
268,上海,7244,2106,2237,10,1575,1316
269,只好,7228,1710,1637,853,1556,1472
270,一会儿,7223,2423,373,194,2083,2150
271,总是,7220,2357,1077,455,1693,1638
272,有个,7174,1123,1914,1990,992,1155
273,将军,7149,377,2726,2583,1180,283
274,所有,7123,2738,1371,578,1170,1266
275,不如,7113,1039,2325,1975,1075,699
276,其实,7072,3333,1001,480,1442,816
277,丈夫,7060,1574,1150,1869,1740,727
278,这儿,7056,2553,312,14,1946,2231
279,日子,7053,2203,841,746,1444,1819
280,时间,7000,3452,150,68,1459,1871
281,地上,6976,2623,641,472,1252,1988
282,前面,6950,1136,1303,1244,1745,1522
283,一遍,6887,1042,2210,1939,653,1043
284,妈妈,6834,1908,479,1158,945,2344
285,本来,6807,1869,1460,230,1858,1390
286,上去,6777,1279,1682,939,1305,1572
287,希望,6765,2130,98,30,2610,1897
288,男人,6746,4048,279,266,1195,958
289,商量,6700,910,2144,875,1152,1619
290,次日,6691,22,2794,3386,477,12
291,也许,6689,2699,136,27,2487,1340
292,不想,6671,2188,1242,1296,943,1002
293,不用,6662,1400,1792,950,1121,1399
294,这件,6638,1666,1631,679,1450,1212
295,离开,6631,2672,194,62,1759,1944
296,收拾,6625,883,1711,2426,757,848
297,一人,6622,559,2892,2311,559,301
298,并且,6589,1231,993,169,2837,1359
299,明天,6561,1362,1335,49,2190,1625
300,明日,6494,177,2404,3655,216,42
301,发现,6467,3232,141,108,1002,1984
302,不觉,6457,235,2398,2383,1005,436
303,走进,6452,1551,781,745,1626,1749
304,父母,6405,1110,2322,1716,978,279
305,然而,6368,986,1584,189,3042,567
306,主意,6339,862,2333,1160,995,989
307,回头,6260,1265,1316,720,1579,1380
308,上来,6248,1054,1576,1326,1038,1254
309,仿佛,6220,1622,741,144,2074,1639
310,前来,6199,310,3051,1979,658,201
311,消息,6195,1017,1135,1021,1546,1476
312,一番,6191,616,2162,1589,1071,753
313,吃饭,6178,1791,864,634,1476,1413
314,认识,6153,1605,1037,109,1999,1403
315,老人,6134,1917,303,394,2096,1424
316,情况,6125,2141,27,39,153,3765
317,姐姐,6072,1098,1248,1811,873,1042
318,一口,6055,1541,1236,882,1075,1321
319,我要,6052,1490,1164,423,1738,1237
320,真的,6035,2516,414,193,1442,1470
321,几乎,6035,2474,612,426,1531,992
322,不行,5973,1534,729,287,937,2486
323,对于,5933,1375,394,23,3256,885
324,左右,5928,430,1707,2653,696,442
325,不住,5897,865,1246,1225,1248,1313
326,容易,5891,1283,1154,507,1647,1300
327,英雄,5880,388,2595,1159,1135,603
328,天下,5877,628,1785,2488,475,501
329,身边,5867,1648,632,899,1269,1419
330,大哥,5829,1035,1456,1242,1015,1081
331,不了,5826,1646,971,471,1039,1699
332,相信,5815,2022,445,100,1835,1413
333,四个,5811,969,1640,1263,964,975
334,不管,5802,1725,761,582,1213,1521
335,家人,5792,539,3105,1861,234,53
336,且说,5788,3,2627,2985,153,20
337,头上,5783,1212,954,862,1137,1618
338,说完,5782,1284,1316,393,1231,1558
339,好好,5726,1692,917,612,1041,1464
340,说得,5725,1236,1333,1085,1048,1023
341,床上,5724,1721,792,874,1536,801
342,点头,5680,821,1102,837,1689,1231
343,早已,5664,1131,1739,1026,1044,724
344,书记,5643,4116,46,29,55,1397
345,门外,5623,849,1419,1164,1021,1170
346,一听,5619,803,2401,265,918,1232
347,渐渐,5618,1187,1037,975,1426,993
348,放心,5576,1154,1234,1160,896,1132
349,房子,5548,1685,853,591,1265,1154
350,以前,5545,2126,348,146,1664,1261
351,或者,5515,1578,1025,630,1639,643
352,名字,5505,1329,1269,717,1225,965
353,家中,5491,359,2169,2087,754,122
354,罢了,5490,458,1838,1946,996,252
355,战士,5489,719,6,16,113,4635
356,妻子,5484,1800,966,1550,756,412
357,世界,5479,2242,580,180,1666,811
358,院子,5432,1627,482,169,1581,1573
359,既然,5430,1532,1504,429,1152,813
360,同时,5429,1465,224,102,2009,1629
361,房里,5416,712,1218,1481,1538,467
362,大爷,5411,535,1634,1219,1036,987
363,老师,5410,2829,1016,536,439,590
364,小人,5410,180,1282,3805,106,37
365,是不是,5402,2364,212,56,1350,1420
366,之间,5353,1645,954,1236,894,624
367,经过,5352,1121,719,540,1228,1744
368,一路,5347,852,1803,1437,816,439
369,关系,5347,1870,341,105,1499,1532
370,身体,5335,1746,556,389,1780,864
371,之中,5319,1096,1690,1185,1038,310
372,除了,5306,1615,654,463,1412,1162
373,中间,5304,847,722,952,1749,1034
374,恐怕,5299,613,1593,1028,1436,629
375,二位,5291,141,2547,1686,841,76
376,一家,5261,1233,1208,760,1145,915
377,一步,5252,1329,690,581,1150,1502
378,老婆,5245,1883,408,1120,621,1213
379,得到,5242,1505,589,328,1621,1199
380,路上,5212,1163,838,940,978,1293
381,不同,5196,1251,975,797,1241,932
382,那种,5187,2376,249,86,1722,754
383,师父,5182,277,1151,2727,1016,11
384,媳妇,5171,752,850,1392,674,1503
385,清楚,5160,1819,658,161,1006,1516
386,不少,5158,1249,1224,361,1187,1137
387,特别,5156,1535,142,15,1417,2047
388,一年,5145,1511,1071,767,924,872
389,从前,5144,581,1882,472,1403,806
390,老人家,5109,385,1868,919,1413,524
391,不错,5100,1054,1429,304,1380,933
392,不在,5090,1046,1219,1237,882,706
393,衙门,5075,205,2659,1531,575,105
394,决定,5062,1773,154,19,1354,1762
395,能够,5033,968,976,161,1665,1263
396,谁知,5027,337,2234,1724,467,265
397,宝玉,5019,5,1323,3680,8,3
398,性命,5004,195,1979,2198,488,144
399,究竟,5001,1110,1423,349,1441,678
400,却说,4995,311,1666,2680,209,129
401,看来,4983,1565,728,639,1027,1024
402,走出,4982,1129,772,946,1031,1104
403,欢喜,4965,176,1682,1683,876,548
404,终于,4939,2937,32,56,1040,874
405,打听,4915,427,1793,1163,893,639
406,打算,4911,950,1288,230,1592,851
407,主人,4907,551,1772,1307,943,334
408,精神,4899,1367,595,531,1255,1151
409,情形,4886,360,1555,155,1946,870
410,在家,4884,585,1093,1684,767,755
411,放下,4878,1111,855,873,913,1126
412,当下,4874,195,2654,1512,366,147
413,跟前,4869,632,905,906,627,1799
414,大概,4860,1214,621,138,1993,894
415,半天,4857,1166,1241,224,1145,1081
416,革命,4853,1435,181,1,628,2608
417,两只,4842,1148,555,562,958,1619
418,机会,4794,1367,585,306,1373,1163
419,话说,4785,221,1542,2397,442,183
420,转身,4768,971,1004,824,992,977
421,不成,4754,604,1315,1370,937,528
422,不怕,4735,898,1109,778,890,1060
423,头发,4722,1588,369,335,1375,1055
424,老太太,4687,512,1066,1048,1440,621
425,年纪,4686,565,1177,1168,1092,684
426,出门,4672,974,1179,1303,716,500
427,眼前,4659,1609,482,249,1050,1269
428,不来,4657,615,1374,1338,774,556
429,注意,4645,1224,144,35,1738,1504
430,思想,4633,937,350,388,1334,1624
431,上前,4632,371,1801,1630,525,305
432,发生,4627,1837,130,35,1302,1323
433,一处,4624,379,1765,1222,1076,182
434,而来,4617,293,2074,1724,365,161
435,这才,4611,1056,1356,401,823,975
436,客人,4604,944,957,971,1018,714
437,几句,4602,647,1314,736,911,994
438,眼泪,4602,1190,468,361,1439,1144
439,外边,4600,386,1112,1014,577,1511
440,想着,4597,1029,645,572,992,1359
441,学校,4592,1708,113,30,1733,1008
442,事儿,4581,1078,197,129,312,2865
443,认得,4579,233,1707,1751,635,253
444,不再,4572,1820,454,137,1379,782
445,来看,4568,884,851,1106,1067,660
446,必须,4561,1512,622,569,1022,836
447,认为,4550,1755,68,116,1018,1593
448,自从,4547,596,1407,862,806,876
449,需要,4536,2427,13,11,924,1161
450,可怜,4529,754,1043,1006,1275,451
451,甚至,4517,2744,216,82,629,846
452,道理,4513,835,1246,676,690,1066
453,一见,4506,374,1690,1069,622,751
454,留下,4505,1412,708,790,568,1027
455,结果,4501,1461,725,367,1070,878
456,轻轻,4499,926,550,626,1489,908
457,大声,4498,1170,521,335,1012,1460
458,一句话,4491,1190,702,296,1295,1008
459,微笑,4485,957,162,180,2148,1038
460,变成,4484,1607,236,177,1130,1334
461,地下,4480,420,1151,1193,725,991
462,一场,4473,1013,817,1165,634,844
463,参加,4467,1241,13,6,466,2741
464,要求,4461,1428,316,281,803,1633
465,一同,4456,222,1647,1247,848,492
466,皇上,4454,2817,794,634,176,33
467,一道,4451,930,812,757,793,1159
468,妹妹,4420,1322,913,579,1206,400
469,意见,4409,908,282,55,644,2520
470,感觉,4398,2273,7,7,1234,877
471,一夜,4390,847,1171,1198,601,573
472,行者,4388,9,85,4264,28,2
473,前去,4354,237,1965,1460,485,207
474,桌上,4346,925,741,677,1370,633
475,爷爷,4342,2225,322,601,351,843
476,有时,4332,1268,528,279,1291,966
477,背后,4328,766,817,907,788,1050
478,三人,4309,309,1979,1426,403,192
479,出现,4302,2119,200,86,580,1317
480,仔细,4293,730,798,908,799,1058
481,打开,4287,1111,632,622,957,965
482,怎么样,4285,815,534,484,938,1514
483,年轻,4284,1598,324,110,1119,1133
484,妇女,4272,469,767,744,753,1539
485,元帅,4272,68,1651,2434,110,9
486,小弟,4263,70,1465,2469,169,90
487,天子,4258,54,1936,2209,51,8
488,多么,4254,1477,59,7,1099,1612
489,工夫,4249,259,1110,465,1447,968
490,桌子,4248,784,638,333,1233,1260
491,国家,4243,1362,880,610,627,764
492,正要,4233,309,1367,1156,603,798
493,早就,4232,1478,425,105,951,1273
494,领导,4228,2463,16,2,119,1628
495,常常,4223,1068,507,180,1746,722
496,个人,4216,1154,746,516,744,1056
497,工人,4207,1618,129,24,544,1892
498,不大,4203,676,589,280,1415,1243
499,鬼子,4198,291,13,10,198,3686
500,继续,4191,1678,19,9,899,1586
501,取出,4190,384,1454,1689,400,263
502,记得,4188,1337,598,582,1056,615
503,脑袋,4160,1342,431,121,558,1708
504,伙计,4157,341,1882,590,996,348
505,手中,4148,1013,1244,1004,526,361
506,交给,4143,1113,820,167,960,1083
507,永远,4138,1534,222,58,1467,857
508,这次,4133,1329,339,65,665,1735
509,爸爸,4130,1892,90,2,690,1456
510,嘴里,4127,1340,748,136,652,1251
511,赶紧,4122,961,1129,180,886,966
512,预备,4119,161,1813,571,1306,268
513,报告,4109,834,288,21,736,2230
514,等到,4098,751,1696,396,701,554
515,至于,4095,636,1436,665,922,436
516,言语,4093,282,1151,1663,689,308
517,大门,4080,774,782,536,860,1128
518,下面,4074,1125,658,507,983,801
519,找到,4067,1698,236,60,716,1357
520,见过,4066,1123,1025,533,776,609
521,不然,4060,306,1590,965,779,420
522,少年,4048,207,1704,1176,792,169
523,这时候,4028,814,321,82,1413,1398
524,露出,4021,894,363,392,1267,1105
525,街上,4019,1021,411,464,1140,983
526,王爷,4001,315,1612,417,1594,63
527,耳朵,3997,1139,470,298,914,1176
528,送到,3985,642,1032,643,823,845
529,只能,3975,2215,274,47,727,712
530,发出,3974,1559,313,200,823,1079
531,大喜,3973,186,1446,2155,156,30
532,不许,3970,608,939,1079,877,467
533,双手,3969,1419,577,586,594,793
534,痛苦,3967,1227,91,86,1731,832
535,一座,3963,664,1365,874,566,494
536,里头,3953,544,1547,568,782,512
537,直到,3952,996,824,766,739,627
538,夫妇,3942,277,1402,1120,931,212
539,说出,3935,766,905,806,861,597
540,那天,3928,1460,493,89,908,978
541,开口,3928,850,789,589,877,823
542,仍然,3924,1438,467,184,785,1050
543,彼此,3921,311,1535,1032,856,187
544,亲自,3908,864,912,833,508,791
545,伸手,3902,772,974,321,1086,749
546,弟兄,3890,283,1358,1195,673,381
547,力量,3888,698,150,154,1097,1789
548,一根,3888,1323,534,450,727,854
549,北京,3879,1499,435,188,1280,477
550,帮助,3856,661,449,267,797,1682
551,相公,3853,58,673,3104,16,2
552,真正,3846,1540,760,219,570,757
553,队伍,3843,730,265,140,322,2386
554,此事,3842,223,1623,1792,161,43
555,哪儿,3837,2170,55,4,717,891
556,简直,3832,1133,165,5,1487,1042
557,我家,3831,580,1325,1094,403,429
558,这般,3829,168,1284,1551,739,87
559,说什么,3829,1288,289,134,1095,1023
560,动手,3824,454,1331,617,816,606
561,来说,3811,1309,574,503,423,1002
562,厉害,3802,716,589,267,1122,1108
563,太阳,3801,1322,324,121,1029,1005
564,说明,3799,823,1215,545,560,656
565,奇怪,3794,923,585,281,1054,951
566,群众,3765,696,4,1,292,2772
567,底下,3754,610,861,477,992,814
568,商议,3750,111,1307,1880,308,144
569,它们,3749,2241,121,36,922,429
570,这等,3749,162,1161,2331,67,28
571,青年,3738,798,142,131,1235,1432
572,了解,3727,1177,30,60,796,1664
573,很多,3726,1454,154,32,960,1126
574,衣裳,3719,580,648,876,828,787
575,显得,3717,1404,124,55,868,1266
576,里边,3701,285,802,831,526,1257
577,不但,3698,486,927,604,1110,571
578,男子,3698,202,1063,769,1465,199
579,指着,3692,564,612,528,533,1455
580,从此,3678,554,1436,758,599,331
581,其中,3667,1014,966,678,564,445
582,一身,3661,905,806,692,712,546
583,生气,3659,884,400,259,1134,982
584,这句,3656,710,872,310,898,866
585,眼光,3653,575,104,45,1640,1289
586,故意,3645,542,483,682,1005,933
587,乃是,3634,89,1594,1648,284,19
588,那儿,3625,1918,137,36,709,825
589,夫妻,3617,430,1097,1635,284,171
590,队长,3614,498,38,15,188,2875
591,叫做,3606,323,1339,1351,359,234
592,像是,3605,1560,194,58,707,1086
593,穿着,3600,936,363,503,850,948
594,答道,3599,156,1101,1125,899,318
595,小子,3589,655,863,668,651,752
596,根本,3576,1884,139,87,586,880
597,村里,3574,1425,59,88,260,1742
598,一想,3572,297,1382,283,1160,450
599,命令,3567,665,97,50,636,2119
600,也好,3562,521,932,563,813,733
601,房间,3553,1543,548,40,916,506
602,态度,3551,961,126,62,1401,1001
603,这边,3551,648,751,613,578,961
604,员外,3548,3,1106,2388,50,1
605,害怕,3532,960,468,412,923,769
606,表示,3531,823,57,14,1531,1106
607,那位,3527,654,1126,219,958,570
608,另外,3526,983,601,83,997,862
609,此刻,3522,820,1761,174,498,269
610,无人,3519,266,1577,1325,235,116
611,第二天,3518,1215,361,65,909,968
612,百姓,3517,324,1568,1331,208,86
613,相见,3516,90,1134,2007,244,41
614,读书,3512,518,986,1033,741,234
615,到处,3504,1055,470,341,557,1081
616,今年,3500,630,827,685,587,771
617,人马,3499,183,1218,1656,238,204
618,可惜,3498,609,970,734,651,534
619,成功,3496,510,1443,444,581,518
620,拿出,3493,756,546,669,763,759
621,听得,3488,215,1265,1226,518,264
622,一半,3473,862,855,686,671,399
623,只管,3468,278,928,1232,769,261
624,家伙,3464,753,338,299,288,1786
625,人民,3460,561,657,125,514,1603
626,一笑,3458,662,698,226,1508,364
627,而是,3455,1982,12,20,634,807
628,招呼,3453,664,1113,232,750,694
629,为何,3435,137,1057,1939,269,33
630,抬头,3428,657,699,609,737,726
631,很快,3422,1751,24,15,640,992
632,一顿,3404,639,608,742,643,772
633,两位,3391,621,897,522,917,434
634,何处,3391,136,1584,1450,195,26
635,应当,3390,230,199,65,1793,1103
636,对面,3386,648,834,410,733,761
637,低声,3379,462,286,138,1267,1226
638,一双,3378,847,655,547,775,554
639,战斗,3376,416,50,38,106,2766
640,随着,3368,770,503,443,641,1011
641,暗暗,3365,381,924,1171,343,546
642,更加,3349,864,393,273,459,1360
643,刚刚,3347,1225,423,222,611,866
644,才能,3343,1221,327,112,680,1003
645,后边,3341,315,402,1179,230,1215
646,书房,3340,298,1131,1161,564,186
647,打死,3339,403,877,807,364,888
648,一口气,3328,834,358,190,952,994
649,人来,3326,397,991,848,575,515
650,每天,3324,1555,190,49,817,713
651,几年,3323,1074,579,457,555,658
652,不便,3313,286,1323,801,723,180
653,何不,3313,66,1244,1640,254,109
654,长春,3312,16,92,32,23,3149
655,老汉,3303,907,111,426,28,1831
656,各处,3290,78,1669,923,450,170
657,娘子,3284,25,1215,1997,40,7
658,见面,3278,761,767,271,827,652
